scenario_id,treatment_id,executions,iceberg_bytes_read_median,iceberg_bytes_read_min,iceberg_bytes_read_max,file_bytes_read_median,file_bytes_read_min,file_bytes_read_max,bytes_spread_ratio,bytes_read,delete_bytes_read,data_files_read,data_files_skipped,output_rows,repetitions_agreeing
sweep_001,B0,10,594148,594148,594148,517727,517714,517741,0.000052,1111875,0,10,0,12758,2
sweep_001,B1,9,0,0,0,3469013,3469013,3469013,0.000000,3469013,0,0,0,102483,2
sweep_001,B2,10,0,0,0,3489276,3489275,3489278,0.000001,3489276,0,0,0,38777,2
sweep_001,B3,13,3073190,3073056,3073324,2545159,2544761,2545558,0.000313,5618349,0,90,0,67469,2
sweep_038,B0,10,594148,594148,594148,517734,517728,517741,0.000025,1111882,0,10,0,12832,2
sweep_038,B1,9,0,0,0,3469013,3469013,3469013,0.000000,3469013,0,0,0,102631,2
sweep_038,B2,10,0,0,0,3489279,3489279,3489280,0.000000,3489279,0,0,0,38888,2
sweep_038,B3,13,3078364,3078230,3078498,2550248,2549872,2550625,0.000295,5628612,0,90,0,68283,2
