H11C|1|sweep_001|2026-09-12T17:30:53Z|2026-09-12T17:38:12Z
H11C|1|sweep_002|2026-09-12T17:38:12Z|2026-09-12T17:45:36Z
H11C|1|sweep_004|2026-09-12T17:45:36Z|2026-09-12T17:52:38Z
H11C|1|sweep_008|2026-09-12T17:52:38Z|2026-09-12T18:00:00Z
H11C|1|sweep_016|2026-09-12T18:00:00Z|2026-09-12T18:07:26Z
H11C|1|sweep_038|2026-09-12T18:07:26Z|2026-09-12T18:14:23Z
H11C|2|sweep_001|2026-09-12T18:14:23Z|2026-09-12T18:21:36Z
H11C|2|sweep_002|2026-09-12T18:21:36Z|2026-09-12T18:28:29Z
H11C|2|sweep_004|2026-09-12T18:28:29Z|2026-09-12T18:35:36Z
H11C|2|sweep_008|2026-09-12T18:35:36Z|2026-09-12T18:42:29Z
H11C|2|sweep_016|2026-09-12T18:42:29Z|2026-09-12T18:49:30Z
H11C|2|sweep_038|2026-09-12T18:49:30Z|2026-09-12T18:56:36Z
H11C|3|sweep_001|2026-09-12T18:56:36Z|2026-09-12T19:03:48Z
H11C|3|sweep_002|2026-09-12T19:03:48Z|2026-09-12T19:11:03Z
H11C|3|sweep_004|2026-09-12T19:11:03Z|2026-09-12T19:18:20Z
H11C|3|sweep_008|2026-09-12T19:18:20Z|2026-09-12T19:25:38Z
H11C|3|sweep_016|2026-09-12T19:25:38Z|2026-09-12T19:32:55Z
H11C|3|sweep_038|2026-09-12T19:32:55Z|2026-09-12T19:39:57Z
