source_id,indicator_key,series_key,release_date,observed_period,geo_level,geo_code,geo_name,unit,value,producer,methodology_version,source_record_id
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,national,9999,Indonesia,percent,96,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=9999;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1100,Aceh,percent,98.33,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1100;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1200,Sumatera Utara,percent,96.48,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1200;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1300,Sumatera Barat,percent,93.26,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1300;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1400,Riau,percent,95.18,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1400;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1500,Jambi,percent,95.34,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1500;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1600,Sumatera Selatan,percent,95.93,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1600;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1700,Bengkulu,percent,95.16,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1700;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1800,Lampung,percent,97.69,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1800;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,1900,Kep. Bangka Belitung,percent,96.05,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=1900;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,2100,Kep. Riau,percent,95.25,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=2100;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,3100,Dki Jakarta,percent,97.8,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3100;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,3200,Jawa Barat,percent,97.76,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3200;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd,2026-09-08,2020,province,3300,Jawa Tengah,percent,97.2,Badan Pusat Statistik,webapi-var-1980-updated-2026-08-26,domain=0000;var=1980;vervar=3300;turvar=1672;th=120;turth=0
