edge_id,from_node_id,to_node_id,relationship,observation_id,cell_id,evidence_basis
edge:9d889bd0c66a9940fa0e,source_artifact:5b60d57510ca563f2783,source_record:69c44ea8114c54419750,artifact_contains_record,2766cbe2cf960f73ba05,71a013b45f47a8aefa7d,artifact checksum plus exact source locator and H6 cell coordinates
edge:9dd25f905a220b211689,source_artifact:3c803d0b82626170d679,source_record:71811020d9a92abf868d,artifact_contains_record,ad8a7f5c7869af674e3a,05ae4dff5d60b5021813,artifact checksum plus exact source locator and H6 cell coordinates
edge:9e8bafa748bbe567256e,source_artifact:3c803d0b82626170d679,source_record:3edd79e5e5b56f709897,artifact_contains_record,1721995859418ecf608c,3087bf08970908c509ca,artifact checksum plus exact source locator and H6 cell coordinates
edge:9f59c4545eba79c33178,source_artifact:3c803d0b82626170d679,source_record:1aa22f2b385a01569fc4,artifact_contains_record,deabb3549fa520121850,71a013b45f47a8aefa7d,artifact checksum plus exact source locator and H6 cell coordinates
edge:a1408295b9f2ad93444b,source_artifact:5b60d57510ca563f2783,source_record:bbde0e659e98bd2c6084,artifact_contains_record,f831d08aa91c95864cd0,05ae4dff5d60b5021813,artifact checksum plus exact source locator and H6 cell coordinates
edge:aa33584f327ef36d5cae,source_artifact:a3b2d14f73a6944e5daa,source_record:f6a04a1c01641dfdfadc,artifact_contains_record,df8ae4a2843995c9185d,3087bf08970908c509ca,artifact checksum plus exact source locator and H6 cell coordinates
edge:b0662363b413d05ac3ad,source_artifact:3c803d0b82626170d679,source_record:0230a2ca03c36177ec6e,artifact_contains_record,cfe502c53f19a90449e6,94651a48df17d3b56a1b,artifact checksum plus exact source locator and H6 cell coordinates
edge:b18a3521cddb2bc0793a,source_artifact:3c803d0b82626170d679,source_record:55f9eca0640826e24f9c,artifact_contains_record,d99bc3566095bc6ee582,7e097ceb497e25947325,artifact checksum plus exact source locator and H6 cell coordinates
edge:b645299811adb3d6349a,source_artifact:5b60d57510ca563f2783,source_record:16473e53e748c08ec754,artifact_contains_record,9fcd6d7d4f2e24e56db1,1c03a76cb6a98f53235d,artifact checksum plus exact source locator and H6 cell coordinates
edge:bf2e641fa03970b59446,source_artifact:5b60d57510ca563f2783,source_record:294fa03a900a59c6bcc9,artifact_contains_record,27f750d142897641b3b1,e33e2f8351747300cba7,artifact checksum plus exact source locator and H6 cell coordinates
edge:ca68465dd87e667eb122,source_artifact:5b60d57510ca563f2783,source_record:c5368ca23455a251f941,artifact_contains_record,e313de2e0e1a97bc17ff,7e097ceb497e25947325,artifact checksum plus exact source locator and H6 cell coordinates
edge:e3a34759b406127aa616,source_artifact:a3b2d14f73a6944e5daa,source_record:423572d2616d043c15d1,artifact_contains_record,49b82f2b710bfb946f9f,e4982bb0d13ac08094aa,artifact checksum plus exact source locator and H6 cell coordinates
edge:e795386a64d506cc9fd2,source_artifact:3c803d0b82626170d679,source_record:061aced56e5316f767e3,artifact_contains_record,74fed6e1c3d917191be6,53b2a1ef09a68d6c5173,artifact checksum plus exact source locator and H6 cell coordinates
edge:eb7034130d07fb686dcd,source_artifact:3c803d0b82626170d679,source_record:c2b5603f1388485b6d3e,artifact_contains_record,356dadeceba952eb2a0c,e33e2f8351747300cba7,artifact checksum plus exact source locator and H6 cell coordinates
edge:fee8ae19d02881e74d99,source_artifact:5b60d57510ca563f2783,source_record:010ca4a0b9492cf8f0be,artifact_contains_record,6fbf4aae1b9a6de0051a,94651a48df17d3b56a1b,artifact checksum plus exact source locator and H6 cell coordinates
edge:051c36c93aa437373c92,ingestion_batch:262525ea522552e448f9,transformation_run:9c729c994c878f480a2a,ingestion_batch_feeds_run,,,H6 ingestion_batch_id and transformation_run_id
