event_id,domain,event_kind,indicator_key,series_key,observed_period,geo_level,geo_code,unit,source_values_json,absolute_difference,input_label,rule_id,classification,cause_family,evidence_level,counts_toward_g1,classification_note,original_classification,original_cause_family,original_evidence_level,promoted,evidence_kind,evidence_locator,evidence_note
8d7ee636afa8b4002967,economy,national_province_granularity,sdg08_hourly_wage,total,2021,national_vs_province,9999,rupiah_per_hour,"{""national"": ""18089"", ""province_count"": ""34"", ""province_unweighted_mean"": ""19422.9706""}",1333.9706,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
8fbdff17993549dca6fb,economy,source_value_difference,sdg08_productivity_growth,total,2021,province,1500,percent,"{""bps_tpb_2024"": ""3.24"", ""bps_webapi"": ""3.22""}",0.02,candidate_revision,R02,vintage_candidate,vintage,candidate,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,no,,,
94e3f4550750e13b8e59,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,8200,percent,"{""bps_tpb_2024"": ""11.05"", ""bps_webapi"": ""12.04""}",0.99,candidate_revision,R02,vintage_observed,vintage,observed,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,yes,provisional_publication_to_later_snapshot,page=208;column=12;printed_note=xx;year=2023,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
95a6e089340f5a5eee14,energy,release_value_difference,sdg07_renewable_share,total,2019,national,9999,percent,"{""bps_tpb_2024"": ""9.15"", ""bps_tpb_2025"": ""9.15"", ""bps_webapi"": ""9.19""}",0.04,release_revision_candidate,R05,vintage_candidate,vintage,candidate,yes,WebAPI and a dated publication differ without two historical WebAPI snapshots,vintage_candidate,vintage,candidate,no,,,
968d607b93fa95159701,economy,national_province_granularity,sdg08_neet,total,2022,national_vs_province,9999,percent,"{""national"": ""23.22"", ""province_count"": ""34"", ""province_unweighted_mean"": ""23.0021""}",0.2179,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
9db7d2e4e7cdf28df00b,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,1700,percent,"{""bps_tpb_2024"": ""1.13"", ""bps_webapi"": ""1.15""}",0.02,candidate_revision,R02,vintage_observed,vintage,observed,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,yes,provisional_publication_to_later_snapshot,page=208;column=12;printed_note=xx;year=2023,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
a303794abee88f110859,economy,source_value_difference,sdg08_productivity_growth,total,2023,province,2100,percent,"{""bps_tpb_2024"": ""19.30"", ""bps_webapi"": ""19.25""}",0.05,candidate_revision,R02,vintage_observed,vintage,observed,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,yes,provisional_publication_to_later_snapshot,page=208;column=12;printed_note=xx;year=2023,TPB 2024 and TPB 2025 preserve the same value and mark the year very provisional; the dated 2026 WebAPI snapshot reports a different value for the same BPS indicator cell
a3307f23e9de5540ac0b,economy,source_value_difference,sdg08_productivity_growth,total,2021,province,1100,percent,"{""bps_tpb_2024"": ""2.75"", ""bps_webapi"": ""2.73""}",0.02,candidate_revision,R02,vintage_candidate,vintage,candidate,yes,WebAPI was updated after the publication but a prior WebAPI snapshot is unavailable,vintage_candidate,vintage,candidate,no,,,
a5dbe25132b40c18e80a,education,national_province_granularity,sdg04_completion_rate,smp,2023,national_vs_province,9999,percent,"{""national"": ""90.44"", ""province_count"": ""34"", ""province_unweighted_mean"": ""89.5521""}",0.8879,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
a67dc5b40120e6585b0a,education,national_province_granularity,sdg04_completion_rate,sma,2021,national_vs_province,9999,percent,"{""national"": ""65.94"", ""province_count"": ""34"", ""province_unweighted_mean"": ""65.5106""}",0.4294,national_vs_unweighted_mean,R08,granularity_structural,granularity,observed,yes,National value differs from the unweighted mean of its province values,granularity_structural,granularity,observed,no,,,
