comparison,measure,measured_direction,measured_crossing,intercept_gap,slope_gap,projected_crossing_cells,projection_status,condition_for_a_crossing
B3 against B1,total_seconds_median,B1_cheaper_over_the_whole_sweep,none,27.2878,-0.0448,,flat_within_the_measured_ranges,"neither treatment shows a time trend the measured ranges can resolve, so no revision size inside or beyond this sweep can produce a crossing; only a change in the fixed cost could, that is the maintenance policy or the per-statement overhead, and neither was tested"
B3 against B1,delta_bytes_median,B3_cheaper_over_the_whole_sweep,none,-418204.1801,42.7403,9785,outside_measured_range,"a crossing needs a revision touching about 9785 cells, against a panel of 5378 cells and a frozen universe of 38"
B3 against B0,total_seconds_median,B0_cheaper_over_the_whole_sweep,none,12.2120,-0.0400,,flat_within_the_measured_ranges,"neither treatment shows a time trend the measured ranges can resolve, so no revision size inside or beyond this sweep can produce a crossing; only a change in the fixed cost could, that is the maintenance policy or the per-statement overhead, and neither was tested"
B3 against B0,delta_bytes_median,B0_cheaper_over_the_whole_sweep,none,36836.2456,47.5149,,"the lines diverge, so they never cross for a positive revision size","the comparator starts cheaper and stays cheaper as the revision grows, so no revision size crosses; the panel holds 5378 cells and the frozen universe 38"
B3 against B2,total_seconds_median,B2_cheaper_over_the_whole_sweep,none,13.5324,-0.0288,,flat_within_the_measured_ranges,"neither treatment shows a time trend the measured ranges can resolve, so no revision size inside or beyond this sweep can produce a crossing; only a change in the fixed cost could, that is the maintenance policy or the per-statement overhead, and neither was tested"
B3 against B2,delta_bytes_median,B2_cheaper_over_the_whole_sweep,none,24186.1976,66.8669,,"the lines diverge, so they never cross for a positive revision size","the comparator starts cheaper and stays cheaper as the revision grows, so no revision size crosses; the panel holds 5378 cells and the frozen universe 38"
