repetition,scenario_id,treatment_id,statement_index,statement_label,phase,seconds
3,validation_001,B3,4,insert_store_rows,write,4.763
3,validation_001,B3,5,merge_serving_dirty_cells,write,8.625
3,validation_001,B3,6,expire_snapshots_store,maintenance,13.246
3,validation_001,B3,7,expire_snapshots_serving,maintenance,8.243
3,validation_001,B3,8,verify_state,verification,1.907
3,validation_002,B0,1,view_payload,harness,6.435
3,validation_002,B0,2,view_expected,harness,0.623
3,validation_002,B0,3,merge_revision,write,10.846
3,validation_002,B0,4,expire_snapshots,maintenance,14.953
3,validation_002,B0,5,verify_state,verification,2.074
3,validation_002,B1,1,view_next_state,harness,6.558
3,validation_002,B1,2,view_expected,harness,0.568
3,validation_002,B1,3,insert_overwrite_snapshot,write,5.384
3,validation_002,B1,4,verify_state,verification,4.767
3,validation_002,B2,1,view_next_state,harness,7.18
3,validation_002,B2,2,view_expected,harness,0.509
3,validation_002,B2,3,insert_overwrite_selection,write,5.429
3,validation_002,B2,4,expire_snapshots,maintenance,17.156
3,validation_002,B2,5,verify_state,verification,3.153
3,validation_002,B3,1,view_payload,harness,6.626
3,validation_002,B3,2,view_dirty_cells,harness,0.534
3,validation_002,B3,3,view_expected,harness,0.518
3,validation_002,B3,4,insert_store_rows,write,4.786
3,validation_002,B3,5,merge_serving_dirty_cells,write,9.61
3,validation_002,B3,6,expire_snapshots_store,maintenance,13.81
3,validation_002,B3,7,expire_snapshots_serving,maintenance,8.358
3,validation_002,B3,8,verify_state,verification,1.943
