repetition,scenario_id,treatment_id,table,baseline_objects,baseline_bytes,after_objects,after_bytes,delta_objects,delta_bytes,baseline_data_bytes,after_data_bytes,baseline_rows,after_rows,baseline_snapshots,after_snapshots
2,sweep_016,B0,kkciv.sweep.b0_panel_current,15,373372,17,387259,2,13887,297074,297952,5378,5378,1,1
2,sweep_016,B1,kkciv.sweep.b1_panel_full_snapshots,36,889874,45,1358862,9,468988,760833,1191994,10106,15484,4,5
2,sweep_016,B2,kkciv.sweep.b2_panel_selected,9,316587,12,342835,3,26248,289764,290357,5378,5378,1,1
2,sweep_016,B3,kkciv.sweep.b3_panel_current,15,369547,17,384576,2,15029,288809,289771,5378,5378,1,1
2,sweep_016,B3,kkciv.sweep.b3_panel_observation_vintages,28,561584,32,598516,4,36932,473831,486693,6983,6999,1,1
2,sweep_038,B0,kkciv.sweep.b0_panel_current,15,373374,17,387833,2,14459,297074,298524,5378,5378,1,1
2,sweep_038,B1,kkciv.sweep.b1_panel_full_snapshots,36,889888,45,1359570,9,469682,760833,1192687,10106,15484,4,5
2,sweep_038,B2,kkciv.sweep.b2_panel_selected,9,316594,12,342957,3,26363,289764,290459,5378,5378,1,1
2,sweep_038,B3,kkciv.sweep.b3_panel_current,15,369830,17,384838,2,15008,289084,290024,5378,5378,1,1
2,sweep_038,B3,kkciv.sweep.b3_panel_observation_vintages,28,561581,32,599445,4,37864,473831,487618,6983,7021,1,1
3,sweep_001,B0,kkciv.sweep.b0_panel_current,15,373369,17,386648,2,13279,297074,297353,5378,5378,1,1
3,sweep_001,B1,kkciv.sweep.b1_panel_full_snapshots,36,889869,45,1358176,9,468307,760833,1191327,10106,15484,4,5
3,sweep_001,B2,kkciv.sweep.b2_panel_selected,9,316587,12,342466,3,25879,289764,289985,5378,5378,1,1
3,sweep_001,B3,kkciv.sweep.b3_panel_current,15,369550,17,383975,2,14425,288809,289173,5378,5378,1,1
3,sweep_001,B3,kkciv.sweep.b3_panel_observation_vintages,28,561556,32,596792,4,35236,473831,485075,6983,6984,1,1
3,sweep_002,B0,kkciv.sweep.b0_panel_current,15,373373,17,386732,2,13359,297074,297430,5378,5378,1,1
3,sweep_002,B1,kkciv.sweep.b1_panel_full_snapshots,36,889846,45,1358237,9,468391,760833,1191406,10106,15484,4,5
