indicator_key,series_key,observed_period,geo_level,geo_code,unit,geo_name,snapshot_count,value_count,min_value,max_value,absolute_spread,status,observations_json
sdg04_completion_rate,sd,2020,province,2100,percent,Kep. Riau,2,1,95.25,95.25,0.00,exact_match,"[{""geo_code"": ""2100"", ""geo_level"": ""province"", ""geo_name"": ""Kep. Riau"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=2100;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""95.25""}, {""geo_code"": ""2100"", ""geo_level"": ""province"", ""geo_name"": ""Kepulauan Riau"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""95.25""}]"
sdg04_completion_rate,sd,2020,province,3100,percent,Dki Jakarta,2,1,97.8,97.8,0.0,exact_match,"[{""geo_code"": ""3100"", ""geo_level"": ""province"", ""geo_name"": ""Dki Jakarta"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=3100;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""97.8""}, {""geo_code"": ""3100"", ""geo_level"": ""province"", ""geo_name"": ""DKI Jakarta"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""97.80""}]"
sdg04_completion_rate,sd,2020,province,3200,percent,Jawa Barat,2,1,97.76,97.76,0.00,exact_match,"[{""geo_code"": ""3200"", ""geo_level"": ""province"", ""geo_name"": ""Jawa Barat"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=3200;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""97.76""}, {""geo_code"": ""3200"", ""geo_level"": ""province"", ""geo_name"": ""Jawa Barat"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""97.76""}]"
sdg04_completion_rate,sd,2020,province,3300,percent,Jawa Tengah,2,1,97.2,97.2,0.0,exact_match,"[{""geo_code"": ""3300"", ""geo_level"": ""province"", ""geo_name"": ""Jawa Tengah"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=3300;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""97.2""}, {""geo_code"": ""3300"", ""geo_level"": ""province"", ""geo_name"": ""Jawa Tengah"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""97.20""}]"
sdg04_completion_rate,sd,2020,province,3400,percent,Di Yogyakarta,2,1,96.43,96.43,0.00,exact_match,"[{""geo_code"": ""3400"", ""geo_level"": ""province"", ""geo_name"": ""Di Yogyakarta"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=3400;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""96.43""}, {""geo_code"": ""3400"", ""geo_level"": ""province"", ""geo_name"": ""DI Yogyakarta"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""96.43""}]"
sdg04_completion_rate,sd,2020,province,3500,percent,Jawa Timur,2,1,96.81,96.81,0.00,exact_match,"[{""geo_code"": ""3500"", ""geo_level"": ""province"", ""geo_name"": ""Jawa Timur"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=3500;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""96.81""}, {""geo_code"": ""3500"", ""geo_level"": ""province"", ""geo_name"": ""Jawa Timur"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""96.81""}]"
sdg04_completion_rate,sd,2020,province,3600,percent,Banten,2,1,96.03,96.03,0.00,exact_match,"[{""geo_code"": ""3600"", ""geo_level"": ""province"", ""geo_name"": ""Banten"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=3600;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""96.03""}, {""geo_code"": ""3600"", ""geo_level"": ""province"", ""geo_name"": ""Banten"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""96.03""}]"
sdg04_completion_rate,sd,2020,province,5100,percent,Bali,2,1,96.66,96.66,0.00,exact_match,"[{""geo_code"": ""5100"", ""geo_level"": ""province"", ""geo_name"": ""Bali"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=5100;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""96.66""}, {""geo_code"": ""5100"", ""geo_level"": ""province"", ""geo_name"": ""Bali"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""96.66""}]"
sdg04_completion_rate,sd,2020,province,5200,percent,Nusa Tenggara Barat,2,1,97.29,97.29,0.00,exact_match,"[{""geo_code"": ""5200"", ""geo_level"": ""province"", ""geo_name"": ""Nusa Tenggara Barat"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=5200;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""97.29""}, {""geo_code"": ""5200"", ""geo_level"": ""province"", ""geo_name"": ""Nusa Tenggara Barat"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""97.29""}]"
sdg04_completion_rate,sd,2020,province,5300,percent,Nusa Tenggara Timur,2,1,86.92,86.92,0.00,exact_match,"[{""geo_code"": ""5300"", ""geo_level"": ""province"", ""geo_name"": ""Nusa Tenggara Timur"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1980-updated-2026-08-26"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1980;vervar=5300;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""86.92""}, {""geo_code"": ""5300"", ""geo_level"": ""province"", ""geo_name"": ""Nusa Tenggara Timur"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-appendix"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""pub=936a26d5d2b168b9971d3b02;page=254;column=8;year=2020"", ""unit"": ""percent"", ""value"": ""86.92""}]"
