repetition,treatment_id,arrival_order,statement_index,statement_label,phase,seconds
2,B3,2,6,verify_serving,verification,1.213
2,B3,3,1,insert_store_rows,write,0.84
2,B3,3,2,merge_serving_dirty_cells,write,4.673
2,B3,3,3,expire_snapshots_store,maintenance,8.058
2,B3,3,4,expire_snapshots_serving,maintenance,7.206
2,B3,3,5,verify_store,verification,1.28
2,B3,3,6,verify_serving,verification,0.951
2,B3,4,1,insert_store_rows,write,0.879
2,B3,4,2,merge_serving_dirty_cells,write,4.982
2,B3,4,3,expire_snapshots_store,maintenance,7.146
2,B3,4,4,expire_snapshots_serving,maintenance,6.563
2,B3,4,5,verify_store,verification,1.207
2,B3,4,6,verify_serving,verification,0.812
3,B0,0,0,staging_views,harness,9.622
3,B0,1,1,merge_arrival,write,8.021
3,B0,1,2,expire_snapshots,maintenance,7.866
3,B0,1,3,verify_state,verification,3.164
3,B0,2,1,merge_arrival,write,3.895
3,B0,2,2,expire_snapshots,maintenance,10.937
3,B0,2,3,verify_state,verification,1.495
3,B0,3,1,merge_arrival,write,3.497
3,B0,3,2,expire_snapshots,maintenance,8.635
3,B0,3,3,verify_state,verification,1.318
3,B0,4,1,merge_arrival,write,3.197
3,B0,4,2,expire_snapshots,maintenance,7.534
3,B0,4,3,verify_state,verification,1.1
3,B1,0,0,staging_views,harness,10.444
3,B1,1,1,insert_overwrite_all_states,write,8.288
3,B1,1,2,verify_state,verification,3.524
3,B1,2,1,insert_overwrite_all_states,write,2.651
3,B1,2,2,verify_state,verification,1.621
3,B1,3,1,insert_overwrite_all_states,write,2.199
3,B1,3,2,verify_state,verification,1.343
3,B1,4,1,insert_overwrite_all_states,write,2.035
3,B1,4,2,verify_state,verification,1.42
3,B2,0,0,staging_views,harness,10.338
3,B2,1,1,narrow_candidates,harness,0.31
3,B2,1,2,insert_overwrite_selection,write,17.465
3,B2,1,3,expire_snapshots,maintenance,6.615
3,B2,1,4,verify_state,verification,2.723
3,B2,2,1,narrow_candidates,harness,0.224
3,B2,2,2,insert_overwrite_selection,write,1.997
3,B2,2,3,expire_snapshots,maintenance,11.527
3,B2,2,4,verify_state,verification,1.282
3,B2,3,1,narrow_candidates,harness,0.139
3,B2,3,2,insert_overwrite_selection,write,2.401
3,B2,3,3,expire_snapshots,maintenance,7.85
3,B2,3,4,verify_state,verification,1.082
3,B2,4,1,narrow_candidates,harness,0.08
3,B2,4,2,insert_overwrite_selection,write,1.83
3,B2,4,3,expire_snapshots,maintenance,7.541
3,B2,4,4,verify_state,verification,1.079
3,B3,0,0,staging_views,harness,10.229
3,B3,1,1,insert_store_rows,write,6.189
3,B3,1,2,merge_serving_dirty_cells,write,8.958
3,B3,1,3,expire_snapshots_store,maintenance,5.866
3,B3,1,4,expire_snapshots_serving,maintenance,3.544
3,B3,1,5,verify_store,verification,1.916
3,B3,1,6,verify_serving,verification,1.225
3,B3,2,1,insert_store_rows,write,1.395
3,B3,2,2,merge_serving_dirty_cells,write,5.072
3,B3,2,3,expire_snapshots_store,maintenance,10.395
3,B3,2,4,expire_snapshots_serving,maintenance,8.399
3,B3,2,5,verify_store,verification,1.521
3,B3,2,6,verify_serving,verification,1.015
3,B3,3,1,insert_store_rows,write,1.026
3,B3,3,2,merge_serving_dirty_cells,write,4.801
3,B3,3,3,expire_snapshots_store,maintenance,7.817
3,B3,3,4,expire_snapshots_serving,maintenance,6.964
3,B3,3,5,verify_store,verification,1.509
3,B3,3,6,verify_serving,verification,0.701
3,B3,4,1,insert_store_rows,write,1.023
3,B3,4,2,merge_serving_dirty_cells,write,5.118
3,B3,4,3,expire_snapshots_store,maintenance,7.542
3,B3,4,4,expire_snapshots_serving,maintenance,6.617
3,B3,4,5,verify_store,verification,1.559
3,B3,4,6,verify_serving,verification,0.714
