indicator_key,domain,indicator_name,rank,match_score,webapi_domain_id,webapi_variable_id,webapi_title,subject_id,subject_name
sdg04_apk,education,Angka Partisipasi Kasar (APK) SD/SMP/SMA/PT,5,0.6357,0000,1425,Angka Partisipasi Kasar (APK) SD/sederajat Menurut Kuintil Pengeluaran,28,Pendidikan
sdg04_hls,education,Harapan Lama Sekolah (HLS),1,0.8895,0000,457,Angka Harapan Lama Sekolah (HLS) menurut Jenis Kelamin,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_hls,education,Harapan Lama Sekolah (HLS),2,0.7393,0000,417,[Metode Baru] Harapan Lama Sekolah,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_hls,education,Harapan Lama Sekolah (HLS),3,0.5587,0000,5,Rata-Rata Lama Sekolah,26,Indeks Pembangunan Manusia
sdg04_hls,education,Harapan Lama Sekolah (HLS),4,0.5259,0000,415,[Metode Baru] Rata-rata Lama Sekolah,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_hls,education,Harapan Lama Sekolah (HLS),5,0.5083,0000,459,Rata-rata Lama Sekolah (RLS) menurut Jenis Kelamin,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_rls,education,Rata-rata Lama Sekolah (RLS),1,0.9108,0000,459,Rata-rata Lama Sekolah (RLS) menurut Jenis Kelamin,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_rls,education,Rata-rata Lama Sekolah (RLS),2,0.7417,0000,5,Rata-Rata Lama Sekolah,26,Indeks Pembangunan Manusia
sdg04_rls,education,Rata-rata Lama Sekolah (RLS),3,0.6867,0000,415,[Metode Baru] Rata-rata Lama Sekolah,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_rls,education,Rata-rata Lama Sekolah (RLS),4,0.6322,0000,417,[Metode Baru] Harapan Lama Sekolah,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_rls,education,Rata-rata Lama Sekolah (RLS),5,0.6229,0000,1429,Rata-Rata Lama Sekolah Penduduk Umur 15 Tahun ke Atas Menurut Provinsi,28,Pendidikan
sdg04_parity_index,education,Indeks paritas untuk APM APK dan AMH,1,0.3375,0000,2600,4.5.1* Rasio Angka Partisipasi Kasar (APK) pada jenjang PT/sederajat untuk perempuan/laki-laki menurut provinsi,180,Tujuan Pembangunan Berkelanjutan 2025
sdg04_parity_index,education,Indeks paritas untuk APM APK dan AMH,2,0.3307,0000,2572,4.5.1 Rasio Angka Partisipasi Murni (APM) pada jenjang SD/sederajat untuk perempuan/laki-laki menurut status disabilitas,180,Tujuan Pembangunan Berkelanjutan 2025
sdg04_parity_index,education,Indeks paritas untuk APM APK dan AMH,3,0.3307,0000,2602,4.5.1* Rasio Angka Partisipasi Kasar (APK) pada jenjang PT/sederajat untuk perempuan/laki-laki menurut status disabilitas,180,Tujuan Pembangunan Berkelanjutan 2025
sdg04_parity_index,education,Indeks paritas untuk APM APK dan AMH,4,0.3301,0000,2593,4.5.1* Rasio Angka Partisipasi Kasar (APK) pada jenjang SMA/sederajat untuk perempuan/laki-laki menurut status disabilitas,180,Tujuan Pembangunan Berkelanjutan 2025
sdg04_parity_index,education,Indeks paritas untuk APM APK dan AMH,5,0.3251,0000,2601,4.5.1* Rasio Angka Partisipasi Kasar (APK) pada jenjang PT/sederajat untuk perempuan/laki-laki menurut daerah tempat tinggal,180,Tujuan Pembangunan Berkelanjutan 2025
sdg04_literacy,education,Angka Melek Huruf penduduk dewasa,1,0.6240,0000,4,Angka Melek Huruf,26,Indeks Pembangunan Manusia
sdg04_literacy,education,Angka Melek Huruf penduduk dewasa,2,0.5885,0000,1462,Angka Melek Aksara Penduduk 15-24 Tahun Menurut Provinsi,28,Pendidikan
sdg04_literacy,education,Angka Melek Huruf penduduk dewasa,3,0.5885,0000,1466,Angka Melek Aksara Penduduk 15-59 Tahun Menurut Provinsi,28,Pendidikan
sdg04_literacy,education,Angka Melek Huruf penduduk dewasa,4,0.5870,0000,1463,Angka Melek Aksara Penduduk 15-24 Tahun Menurut Klasifikasi Desa,28,Pendidikan
sdg04_literacy,education,Angka Melek Huruf penduduk dewasa,5,0.5870,0000,1467,Angka Melek Aksara Penduduk 15-59 Tahun Menurut Klasifikasi Desa,28,Pendidikan
sdg04_paud,education,Partisipasi pembelajaran terorganisir PAUD usia pra-SD,1,0.4756,0000,1990,Tingkat partisipasi dalam pembelajaran yang teroganisir (satu tahun sebelum usia sekolah dasar) menurut provinsi,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_paud,education,Partisipasi pembelajaran terorganisir PAUD usia pra-SD,2,0.4669,0000,1994,Tingkat partisipasi dalam pembelajaran yang teroganisir (satu tahun sebelum usia sekolah dasar) menurut Jenis Kelamin,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_paud,education,Partisipasi pembelajaran terorganisir PAUD usia pra-SD,3,0.4633,0000,2684,4.2.2* Tingkat Partisipasi dalam Pembelajaran yang Teroganisir (Satu Tahun Sebelum Usia Sekolah Dasar) menurut Status Disabilitas,180,Tujuan Pembangunan Berkelanjutan 2025
sdg04_paud,education,Partisipasi pembelajaran terorganisir PAUD usia pra-SD,4,0.4627,0000,1992,Tingkat partisipasi dalam pembelajaran yang teroganisir (satu tahun sebelum usia sekolah dasar) menurut Daerah Tempat Tinggal,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_paud,education,Partisipasi pembelajaran terorganisir PAUD usia pra-SD,5,0.4591,0000,2682,4.2.2* Tingkat Partisipasi dalam Pembelajaran yang Teroganisir (Satu Tahun Sebelum Usia Sekolah Dasar) menurut Kuintil Pengeluaran,180,Tujuan Pembangunan Berkelanjutan 2025
sdg04_dropout,education,Angka Putus Sekolah per jenjang,1,0.6810,0000,1986,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Jenis Kelamin,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_dropout,education,Angka Putus Sekolah per jenjang,2,0.6722,0000,1988,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Kuintil Pengeluaran,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_dropout,education,Angka Putus Sekolah per jenjang,3,0.6694,0000,1984,Angka Anak Tidak Sekolah Menurut Jenjang Pendidikan dan Daerah Tempat Tinggal,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_dropout,education,Angka Putus Sekolah per jenjang,4,0.5292,0000,301,Angka Partisipasi Sekolah (APS) Menurut Provinsi,28,Pendidikan
sdg04_dropout,education,Angka Putus Sekolah per jenjang,5,0.5235,0000,457,Angka Harapan Lama Sekolah (HLS) menurut Jenis Kelamin,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_basic_services,education,Sekolah dengan layanan dasar air listrik sanitasi,1,0.4078,0000,1794,Proporsi Sekolah dengan Akses Listrik ,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_basic_services,education,Sekolah dengan layanan dasar air listrik sanitasi,2,0.3933,0000,1797,Proporsi Sekolah dengan Akses Fasilitas Sumber Air Layak ,181,Tujuan Pembangunan Berkelanjutan Edisi I
sdg04_basic_services,education,Sekolah dengan layanan dasar air listrik sanitasi,3,0.3603,0000,2741,6.1.1* Persentase rumah tangga yang menggunakan layanan air minum yang dikelola secara aman menurut provinsi,180,Tujuan Pembangunan Berkelanjutan 2025
