source_id,indicator_key,series_key,release_date,observed_period,geo_level,geo_code,geo_name,unit,value,producer,methodology_version,source_record_id
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2015,national,9999,Indonesia,percent,85.33,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=115;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2016,national,9999,Indonesia,percent,88.81,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=116;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2017,national,9999,Indonesia,percent,90.53,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=117;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2018,national,9999,Indonesia,percent,90.21,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=118;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2019,national,9999,Indonesia,percent,92.23,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=119;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2020,national,9999,Indonesia,percent,94.04,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2021,national,9999,Indonesia,percent,95.04,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=121;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2022,national,9999,Indonesia,percent,96.42,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=122;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q1,2026-09-08,2023,national,9999,Indonesia,percent,96.36,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=1;turvar=1672;th=123;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2015,national,9999,Indonesia,percent,89.29,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=115;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2016,national,9999,Indonesia,percent,93,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=116;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2017,national,9999,Indonesia,percent,95.02,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=117;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2018,national,9999,Indonesia,percent,94.05,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=118;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2019,national,9999,Indonesia,percent,95.05,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=119;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2020,national,9999,Indonesia,percent,96.09,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2021,national,9999,Indonesia,percent,97.49,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=121;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2022,national,9999,Indonesia,percent,97.68,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=122;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q2,2026-09-08,2023,national,9999,Indonesia,percent,97.76,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=2;turvar=1672;th=123;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2015,national,9999,Indonesia,percent,92.61,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=115;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2016,national,9999,Indonesia,percent,95.34,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=116;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2017,national,9999,Indonesia,percent,95.92,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=117;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2018,national,9999,Indonesia,percent,95.47,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=118;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2019,national,9999,Indonesia,percent,95.86,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=119;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2020,national,9999,Indonesia,percent,95.84,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2021,national,9999,Indonesia,percent,97.8,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=121;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2022,national,9999,Indonesia,percent,98.14,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=122;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q3,2026-09-08,2023,national,9999,Indonesia,percent,98.12,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=3;turvar=1672;th=123;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2015,national,9999,Indonesia,percent,94.91,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=115;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2016,national,9999,Indonesia,percent,95.92,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=116;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2017,national,9999,Indonesia,percent,97.11,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=117;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2018,national,9999,Indonesia,percent,96.77,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=118;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2019,national,9999,Indonesia,percent,97.01,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=119;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2020,national,9999,Indonesia,percent,96.81,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2021,national,9999,Indonesia,percent,98.49,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=121;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2022,national,9999,Indonesia,percent,98.34,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=122;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q4,2026-09-08,2023,national,9999,Indonesia,percent,98.45,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=4;turvar=1672;th=123;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2015,national,9999,Indonesia,percent,96.99,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=115;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2016,national,9999,Indonesia,percent,97.6,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=116;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2017,national,9999,Indonesia,percent,98.33,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=117;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2018,national,9999,Indonesia,percent,98.04,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=118;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2019,national,9999,Indonesia,percent,98.19,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=119;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2020,national,9999,Indonesia,percent,97.81,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=120;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2021,national,9999,Indonesia,percent,98.5,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=121;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2022,national,9999,Indonesia,percent,98.76,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=122;turth=0
bps_webapi,sdg04_completion_rate,sd.expenditure.q5,2026-09-08,2023,national,9999,Indonesia,percent,98.74,Badan Pusat Statistik,webapi-var-1983-updated-2026-04-08,domain=0000;var=1983;vervar=5;turvar=1672;th=123;turth=0
