domain,indicator_key,series_key,observed_period,geo_level,geo_code,unit,geo_name,source_count,value_count,min_value,max_value,absolute_spread,status,observations_json
education,sdg04_completion_rate,sd.expenditure.q2,2016,national,9999,percent,Indonesia,1,1,93,93,0,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2016"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=116;turth=0"", ""unit"": ""percent"", ""value"": ""93""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2017,national,9999,percent,Indonesia,1,1,95.02,95.02,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2017"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=117;turth=0"", ""unit"": ""percent"", ""value"": ""95.02""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2018,national,9999,percent,Indonesia,1,1,94.05,94.05,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2018"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=118;turth=0"", ""unit"": ""percent"", ""value"": ""94.05""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2019,national,9999,percent,Indonesia,1,1,95.05,95.05,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2019"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=119;turth=0"", ""unit"": ""percent"", ""value"": ""95.05""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2020,national,9999,percent,Indonesia,1,1,96.09,96.09,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2020"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=120;turth=0"", ""unit"": ""percent"", ""value"": ""96.09""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2021,national,9999,percent,Indonesia,1,1,97.49,97.49,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2021"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=121;turth=0"", ""unit"": ""percent"", ""value"": ""97.49""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2022,national,9999,percent,Indonesia,2,1,97.68,97.68,0.00,exact_match,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-figure"", ""observed_period"": ""2022"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""page=46;figure=Gambar 4.2;series=sd.expenditure.q2;year=2022"", ""unit"": ""percent"", ""value"": ""97.68""}, {""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2022"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=122;turth=0"", ""unit"": ""percent"", ""value"": ""97.68""}]"
education,sdg04_completion_rate,sd.expenditure.q2,2023,national,9999,percent,Indonesia,2,1,97.76,97.76,0.00,exact_match,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""tpb-2024-figure"", ""observed_period"": ""2023"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2024-12-31"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_tpb_2024"", ""source_record_id"": ""page=46;figure=Gambar 4.2;series=sd.expenditure.q2;year=2023"", ""unit"": ""percent"", ""value"": ""97.76""}, {""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2023"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q2"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=2;turvar=1672;th=123;turth=0"", ""unit"": ""percent"", ""value"": ""97.76""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2015,national,9999,percent,Indonesia,1,1,92.61,92.61,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2015"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=115;turth=0"", ""unit"": ""percent"", ""value"": ""92.61""}]"
education,sdg04_completion_rate,sd.expenditure.q3,2016,national,9999,percent,Indonesia,1,1,95.34,95.34,0.00,single_source,"[{""geo_code"": ""9999"", ""geo_level"": ""national"", ""geo_name"": ""Indonesia"", ""indicator_key"": ""sdg04_completion_rate"", ""methodology_version"": ""webapi-var-1983-updated-2026-04-08"", ""observed_period"": ""2016"", ""producer"": ""Badan Pusat Statistik"", ""release_date"": ""2026-09-08"", ""series_key"": ""sd.expenditure.q3"", ""source_id"": ""bps_webapi"", ""source_record_id"": ""domain=0000;var=1983;vervar=3;turvar=1672;th=116;turth=0"", ""unit"": ""percent"", ""value"": ""95.34""}]"
