scenario_order,scenario_id,cell_id,base_observation_id,synthetic_observation_id,lineage_edge_id,impact_basis
6,sweep_038,fdaaa3c1bdc22fbe7d62,b96f86aa079b1a21dcea,4653c7ea1c2f1fb5b1bf,edge:8391b81ece3256fc4f7f,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,84b30c24eace1e1a6dc5,bb7925411be9b6b512f6,3b928c48e2f5191636c0,edge:5dfa92d512e63974551d,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,c1b8bcff725f214a9466,679a82a2470a0c2a1053,431534cf38e49fcf86e5,edge:75850f380c28befb147d,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,cbe519449e41300a4184,227e7369ae7155fb09dc,077f8b8a97193f0c41e2,edge:50a67cbe56a7c3b0cd86,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,042fd0148d20a8caa19a,4d54c6c01db8357192fe,759afe4fe5d653a064d2,edge:e44f2a61fe0f94e7beaa,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,3444568b44a846c2053e,d38f9bbb236120b60a72,d95442f03223681958cd,edge:5f79bf5f3b8c593c80f4,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,15b32a8759c7403b435e,52b22c87aff9ef7d958c,e783e7ed66634a52df4f,edge:6216b880a14733eb7f83,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,d9e326095a3f240bfa4b,4461c9a1e5e6a70a5cff,9aeba50d975ac23128ed,edge:8d3d9f85cea24669f970,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,775bc5ede0b28b080f98,05f3727342b59f1b42eb,3767190b7182a0ffab7b,edge:6db613f36dfbea0d1c74,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,90a3159b8a7b4bd4e061,d1a6fadcc2334ed715c8,41accf3510c00216163d,edge:f55066478fa0e1fbfbc3,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,91d71a779a47db1c23e2,b58eecf10a2637f656cb,a74758ef820edf9963a4,edge:c4b6eee1e2c621c84504,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,8788e4198f43d007511b,83d9ca7ff36b5a4bfefa,f6807285e972989d675f,edge:6259bcd5033838e21f0c,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,3b659c42075a31bc828b,22299df8290faa2309ce,c79ba1c7ada1332ed0e8,edge:fff4b35ea88c21ee8dd3,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,29c43c170df0383b5802,7c7fed1784d6c7fb7a3f,c6418657b12b0a320317,edge:526872354bcbaf3d32aa,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,55e90861aacfe1af1cf9,a16d799af70cf9f4f914,6d32428ded5848a3f82e,edge:337081993efd72ee7732,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,b6c8750e3fcf63d75190,9d933c13fbf05d198f3e,f35e380119cd5101d50e,edge:a979dfc6f98c4decf8c5,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,473d3f8b67ccd5db5a86,678b6e60432483806f4d,1cfa8c9be971ac1313ca,edge:5d6ef6f42ff347790392,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,0f162523fe74d1b2090c,3157d6bb229564f85532,361105480f2be3272cf9,edge:0bfedd9f5d2381d6ae19,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,4492f58c2bbce2a2d5f9,2b958b3ccda58faa9a20,20fbf5b8fdab869dae16,edge:4ae54fa652231abecd1b,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,ebe21ab8cd07f32503b4,8400953b008a897a64e9,d7a43241d6034a41b011,edge:dafbde29bbcbb46927ff,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,de51e35566585c57d7af,c1d4a95ae0f7c3d6b507,f5f23a56cb7eb54ecbd4,edge:72b4f65fdf5b4c0c5d13,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,edc6a80da9b6ea8f7c1c,b2718fa56ce5ecf468b8,91b4961853dd870137f3,edge:53baa83a263712946fe5,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,ac26da15f37e794a1959,ce58faa1e8266f5cc95e,cf3ae31ddd253b9946bf,edge:c3d7297bae7c576aa9fa,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,49d6563bb2811eb71d8e,ee17f2d42d2748ad067e,24b1dfd8d79fffb4d922,edge:51fa6f5fb4b8d3339364,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,9eb560de8e683bc912e4,3d8b4c077641c33cf901,ed7715a697f1b4b9d604,edge:06f7ef7023c744b6cf7e,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,7d042823ae6be8d4a8c3,08572be316c541663287,60585c71ce90307a7117,edge:dedf213e00a9264c87a2,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,e4e0a2467bb328d2ae47,c2a55284c36a79c9c01e,a9ac1a664ffa180e2cf7,edge:67b08d4bd5d584859368,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,bc73b93a22e680ac17ab,b02ceeddf4fdc5acb409,5a96a6c281d16668cd44,edge:c6a37dd483fe850c45f3,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,c2a1a9ac151304cd246a,e6b6a9dc57a851384723,4cd519cac051e8aa8ebd,edge:10a18ea26e60b4ec3419,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,036d1c973ea85251e9a6,44caac8190fa51d16d46,0013b6b1be7306892cdf,edge:697a1e259ac2bb571564,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,88766631e03a967c1ead,a3a7ae9d64018648f42c,e50a5bd5bf19ef5aa77b,edge:5d1a34882cf38a964057,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,4166b79514eeade8b707,522acdd413220b7e131c,95f2aa83bc7503f04770,edge:a1e061f1ee01638f6b38,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,cb3058c1431b9559a7b8,032275d811ff9eb70389,8c622bf24201a1fa249f,edge:5b0c0600fe10e062cb79,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,1edba888e2c21aa52529,38aa12db8a1254c82ab4,b23a1e138419afe7f70f,edge:58299fa6f725e48bad53,inherited H6C observation_materializes_cell edge of the base observation
6,sweep_038,3c4b1f42bcb9b851d450,e70c0918e6521f6ff767,966893cf044b9f355b0b,edge:e6b881fee20e9b4a71ff,inherited H6C observation_materializes_cell edge of the base observation
