snapshot_order,state_snapshot_key,applied_vintage_id,source_id,vintage_date,input_rows,inserted_rows,overwritten_rows,value_changed_rows,same_value_overwrites,state_rows,state_sha256
1,1b0254cd80b0c4a2631b,aa7252a58f41161c17c3,bps_tpb_2024,2024-12-31,1560,1560,0,0,0,1560,fb197a0faa462aa31f15d3925c96f02160ee2a6c27bbfb6f676bc805fbfd71a1
2,c1d8f123eccb0ce87772,9ab2011a3892edfac889,bps_tpb_2025,2025-12-30,62,24,38,4,34,1584,7396605638b059a8ba8d6dda36750452a2a92a8def8a2ec4aca44189d62dd173
3,9a588955633e44523727,b132d2fab33291e0733e,bps_webapi,2026-09-08,770,0,770,6,764,1584,67890acd678818fd243048b7e1e90eab88c50b2d7b359e683458e18e70f7904c
4,4c605cc780ffc6defe65,7ba29f3a45abe1301651,bps_webapi,2026-09-08,4591,3794,797,33,764,5378,079e0cb874fe42962b56775e5f2fe5b85c7acbd81154544ae90ea6c6ae4bd035
