repetition,scenario_id,treatment_id,execution_id,statement,iceberg_bytes_read,file_bytes_read,bytes_read,delete_bytes_read,data_files_read,data_files_skipped,output_rows,file_records_read
2,sweep_001,B3,15,"CREATE OR REPLACE TEMPORARY VIEW h11_dirty_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-b3-dirty-cells.csv', header 'tru",0,12115,12115,0,0,0,2,1
2,sweep_001,B3,23,MERGE INTO kkciv.sweep.b3_panel_current AS serving USING (,1525830,1118273,2644103,0,44,0,33634,21779
2,sweep_001,B3,24,INSERT INTO kkciv.sweep.b3_panel_observation_vintages SELECT,0,44263,44263,0,0,0,6,5
2,sweep_001,B3,25,MERGE INTO kkciv.sweep.b3_panel_current AS serving USING (,1547494,1136092,2683586,0,46,0,33638,21781
2,sweep_001,B3,27,"Expiring snapshots (older_than=253402214400000,retain_last=1) in kkciv.sweep.b3_panel_observation_vintages",0,23637,23637,0,0,0,83,23
2,sweep_001,B3,29,"Expiring snapshots (older_than=253402214400000,retain_last=1) in kkciv.sweep.b3_panel_current",0,32349,32349,0,0,0,92,24
2,sweep_038,B0,1,"CREATE OR REPLACE TEMPORARY VIEW h11_panel_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-observations.csv', header ",0,65536,65536,0,0,0,2,1
2,sweep_038,B0,3,"CREATE OR REPLACE TEMPORARY VIEW h11_vintages_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-vintages.csv', header '",0,1202,1202,0,0,0,2,1
2,sweep_038,B0,5,"CREATE OR REPLACE TEMPORARY VIEW h11_b1_keys_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-b1-state-catalog.csv', header ",0,798,798,0,0,0,2,1
2,sweep_038,B0,7,"CREATE OR REPLACE TEMPORARY VIEW h11_scores_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h6b-source-trust-scores.csv', heade",0,621,621,0,0,0,2,1
2,sweep_038,B0,9,"CREATE OR REPLACE TEMPORARY VIEW h11_edges_csv USING csv OPTIONS (path '/home/iceberg/results/processed/h11-panel-impact-edges.csv', header ",0,65536,65536,0,0,0,2,1
